,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.853535,0.78125,0.531915,0.896523,0.67587
Iteration 2,0.896465,0.791209,0.765957,0.947037,0.841161
Iteration 3,0.903797,0.825581,0.755319,0.941542,0.845345
Iteration 4,0.913706,0.810526,0.827957,0.95565,0.865573
Iteration 5,0.89899,0.821429,0.734043,0.929618,0.831317
Iteration 6,0.901515,0.789474,0.797872,0.937368,0.812076
Iteration 7,0.896203,0.791209,0.765957,0.945289,0.85867
Iteration 8,0.931472,0.902439,0.795699,0.973583,0.909354
Iteration 9,0.873737,0.755814,0.691489,0.924528,0.760528
Iteration 10,0.896465,0.82716,0.712766,0.936188,0.7951
Iteration 11,0.901266,0.808989,0.765957,0.957765,0.872091
Iteration 12,0.906091,0.791667,0.817204,0.946112,0.790297
Iteration 13,0.883838,0.833333,0.638298,0.954523,0.852986
Iteration 14,0.896465,0.82716,0.712766,0.935747,0.832633
Iteration 15,0.891139,0.762887,0.787234,0.948964,0.82457
Iteration 16,0.916244,0.8125,0.83871,0.940878,0.814066
Iteration 17,0.909091,0.795918,0.829787,0.954734,0.797666
Iteration 18,0.919192,0.852273,0.797872,0.959719,0.876117
Iteration 19,0.888608,0.828947,0.670213,0.932265,0.842999
Iteration 20,0.903553,0.802198,0.784946,0.937002,0.81936
Iteration 21,0.868687,0.783784,0.617021,0.893388,0.673986
Iteration 22,0.921717,0.862069,0.797872,0.948764,0.853087
Iteration 23,0.901266,0.777778,0.819149,0.954072,0.844631
Iteration 24,0.906091,0.825581,0.763441,0.935305,0.815112
Iteration 25,0.891414,0.8,0.723404,0.93765,0.793908
Iteration 26,0.896465,0.804598,0.744681,0.932225,0.806017
Iteration 27,0.860759,0.842105,0.510638,0.917774,0.755486
Iteration 28,0.885787,0.772727,0.731183,0.926857,0.755911
Iteration 29,0.888889,0.777778,0.744681,0.929935,0.770246
Iteration 30,0.911616,0.79798,0.840426,0.948218,0.823653
Iteration 31,0.893671,0.788889,0.755319,0.942726,0.780149
Iteration 32,0.913706,0.855422,0.763441,0.95565,0.872676
Iteration 33,0.89899,0.806818,0.755319,0.926201,0.847489
Iteration 34,0.871212,0.765432,0.659574,0.956425,0.788696
Iteration 35,0.850633,0.769231,0.531915,0.934845,0.682476
Iteration 36,0.906091,0.769231,0.860215,0.967528,0.851524
Iteration 37,0.878788,0.744681,0.744681,0.926201,0.743022
Iteration 38,0.909091,0.822222,0.787234,0.956425,0.862881
Iteration 39,0.888608,0.784091,0.734043,0.934845,0.833238
Iteration 40,0.936548,0.904762,0.817204,0.967528,0.877783
