,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.921717,0.83871,0.829787,0.96731,0.916436
Iteration 2,0.89899,0.829268,0.723404,0.963418,0.875833
Iteration 3,0.931646,0.845361,0.87234,0.975224,0.907979
Iteration 4,0.93401,0.831683,0.903226,0.974547,0.933192
Iteration 5,0.916667,0.850575,0.787234,0.972066,0.916841
Iteration 6,0.909091,0.773585,0.87234,0.970533,0.873321
Iteration 7,0.924051,0.813725,0.882979,0.969304,0.917882
Iteration 8,0.936548,0.895349,0.827957,0.973958,0.94249
Iteration 9,0.929293,0.851064,0.851064,0.960776,0.856944
Iteration 10,0.936869,0.905882,0.819149,0.97307,0.914613
Iteration 11,0.924051,0.863636,0.808511,0.974518,0.92312
Iteration 12,0.918782,0.814433,0.849462,0.972582,0.902575
Iteration 13,0.926768,0.911392,0.765957,0.977033,0.940696
Iteration 14,0.919192,0.869048,0.776596,0.954541,0.895833
Iteration 15,0.931646,0.838384,0.882979,0.974288,0.908891
Iteration 16,0.931472,0.823529,0.903226,0.974797,0.93503
Iteration 17,0.921717,0.824742,0.851064,0.971766,0.89269
Iteration 18,0.931818,0.852632,0.861702,0.96576,0.905816
Iteration 19,0.911392,0.804124,0.829787,0.972556,0.920728
Iteration 20,0.908629,0.806452,0.806452,0.962776,0.904676
Iteration 21,0.931818,0.868132,0.840426,0.976205,0.935295
Iteration 22,0.934343,0.877778,0.840426,0.983549,0.94775
Iteration 23,0.926582,0.828283,0.87234,0.968951,0.904725
Iteration 24,0.926396,0.863636,0.817204,0.979495,0.939887
Iteration 25,0.929293,0.84375,0.861702,0.972312,0.934085
Iteration 26,0.934343,0.846939,0.882979,0.970569,0.889928
Iteration 27,0.908861,0.871795,0.723404,0.971443,0.921209
Iteration 28,0.918782,0.827957,0.827957,0.973172,0.910519
Iteration 29,0.893939,0.788889,0.755319,0.954911,0.872825
Iteration 30,0.944444,0.875,0.893617,0.976381,0.897533
Iteration 31,0.893671,0.782609,0.765957,0.952941,0.862062
Iteration 32,0.928934,0.882353,0.806452,0.979941,0.919543
Iteration 33,0.94697,0.901099,0.87234,0.977948,0.947985
Iteration 34,0.921717,0.862069,0.797872,0.967979,0.914728
Iteration 35,0.916456,0.821053,0.829787,0.962731,0.849506
Iteration 36,0.918782,0.835165,0.817204,0.974422,0.925541
Iteration 37,0.911616,0.824176,0.797872,0.961621,0.896563
Iteration 38,0.934343,0.861702,0.861702,0.977138,0.918004
Iteration 39,0.916456,0.842697,0.797872,0.964621,0.902085
Iteration 40,0.931472,0.883721,0.817204,0.982138,0.947117
