,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.881313,0.873016,0.585106,0.88747,0.724956
Iteration 2,0.871212,0.811594,0.595745,0.844811,0.653366
Iteration 3,0.858228,0.787879,0.553191,0.891143,0.679452
Iteration 4,0.898477,0.873239,0.666667,0.920623,0.769302
Iteration 5,0.873737,0.866667,0.553191,0.885409,0.721739
Iteration 6,0.866162,0.788732,0.595745,0.875986,0.667158
Iteration 7,0.878481,0.828571,0.617021,0.925885,0.751117
Iteration 8,0.893401,0.880597,0.634409,0.882328,0.733531
Iteration 9,0.886364,0.810127,0.680851,0.873978,0.688717
Iteration 10,0.886364,0.855072,0.62766,0.912076,0.762523
Iteration 11,0.863291,0.8125,0.553191,0.875822,0.671693
Iteration 12,0.880711,0.802632,0.655914,0.88181,0.688146
Iteration 13,0.866162,0.859649,0.521277,0.845516,0.664639
Iteration 14,0.856061,0.793651,0.531915,0.85663,0.650403
Iteration 15,0.888608,0.8125,0.691489,0.903018,0.721903
Iteration 16,0.890863,0.837838,0.666667,0.940039,0.777088
Iteration 17,0.881313,0.830986,0.62766,0.870667,0.690159
Iteration 18,0.896465,0.884058,0.648936,0.910561,0.76207
Iteration 19,0.881013,0.830986,0.62766,0.895278,0.719155
Iteration 20,0.875635,0.805556,0.623656,0.855714,0.661378
Iteration 21,0.861111,0.819672,0.531915,0.867233,0.670017
Iteration 22,0.888889,0.837838,0.659574,0.883824,0.711512
Iteration 23,0.878481,0.828571,0.617021,0.900986,0.724594
Iteration 24,0.86802,0.825397,0.55914,0.900636,0.711825
Iteration 25,0.861111,0.774648,0.585106,0.851469,0.634806
Iteration 26,0.868687,0.818182,0.574468,0.895766,0.705979
Iteration 27,0.858228,0.771429,0.574468,0.903124,0.742993
Iteration 28,0.885787,0.815789,0.666667,0.890866,0.706704
Iteration 29,0.861111,0.8,0.553191,0.839686,0.632729
Iteration 30,0.878788,0.838235,0.606383,0.881446,0.706947
Iteration 31,0.853165,0.725,0.617021,0.882077,0.678071
Iteration 32,0.890863,0.878788,0.623656,0.906012,0.753806
Iteration 33,0.888889,0.890625,0.606383,0.878575,0.731925
Iteration 34,0.856061,0.776119,0.553191,0.884793,0.667677
Iteration 35,0.875949,0.826087,0.606383,0.900226,0.714739
Iteration 36,0.857868,0.793651,0.537634,0.901386,0.697195
Iteration 37,0.840909,0.754098,0.489362,0.874771,0.642774
Iteration 38,0.871212,0.820896,0.585106,0.881534,0.699904
Iteration 39,0.873418,0.833333,0.585106,0.880045,0.700956
Iteration 40,0.895939,0.871429,0.655914,0.911174,0.759231
