,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.881313,0.758242,0.734043,0.90348,0.763962
Iteration 2,0.868687,0.71,0.755319,0.89212,0.710339
Iteration 3,0.863291,0.727273,0.680851,0.903054,0.789335
Iteration 4,0.906091,0.791667,0.817204,0.939574,0.796633
Iteration 5,0.873737,0.755814,0.691489,0.900768,0.775901
Iteration 6,0.84596,0.660194,0.723404,0.913995,0.711436
Iteration 7,0.903797,0.804348,0.787234,0.906606,0.793532
Iteration 8,0.903553,0.783505,0.817204,0.923588,0.793623
Iteration 9,0.878788,0.755556,0.723404,0.89832,0.73309
Iteration 10,0.914141,0.826087,0.808511,0.925144,0.792862
Iteration 11,0.888608,0.777778,0.744681,0.916466,0.833097
Iteration 12,0.86802,0.695238,0.784946,0.912925,0.746038
Iteration 13,0.881313,0.783133,0.691489,0.907408,0.773694
Iteration 14,0.876263,0.758621,0.702128,0.911741,0.77711
Iteration 15,0.891139,0.757576,0.797872,0.92456,0.78932
Iteration 16,0.875635,0.72,0.774194,0.899636,0.754889
Iteration 17,0.881313,0.72381,0.808511,0.907848,0.737827
Iteration 18,0.878788,0.739583,0.755319,0.919825,0.834979
Iteration 19,0.896203,0.797753,0.755319,0.919152,0.788121
Iteration 20,0.890863,0.765957,0.774194,0.90219,0.751555
Iteration 21,0.876263,0.758621,0.702128,0.893106,0.742085
Iteration 22,0.883838,0.74,0.787234,0.921622,0.777439
Iteration 23,0.886076,0.737864,0.808511,0.931364,0.811715
Iteration 24,0.885787,0.772727,0.731183,0.904369,0.756611
Iteration 25,0.858586,0.69,0.734043,0.875863,0.716224
Iteration 26,0.883838,0.74,0.787234,0.926166,0.787318
Iteration 27,0.893671,0.825,0.702128,0.929278,0.833071
Iteration 28,0.893401,0.762887,0.795699,0.922731,0.76898
Iteration 29,0.858586,0.702128,0.702128,0.892754,0.764983
Iteration 30,0.881313,0.728155,0.797872,0.931168,0.807815
Iteration 31,0.865823,0.715789,0.723404,0.908903,0.704454
Iteration 32,0.911168,0.829545,0.784946,0.917497,0.812097
Iteration 33,0.881313,0.747368,0.755319,0.918134,0.79277
Iteration 34,0.873737,0.73913,0.723404,0.896611,0.736974
Iteration 35,0.878481,0.739583,0.755319,0.910988,0.759994
Iteration 36,0.901015,0.77,0.827957,0.919766,0.810871
Iteration 37,0.863636,0.688679,0.776596,0.900997,0.705779
Iteration 38,0.891414,0.786517,0.744681,0.90112,0.795476
Iteration 39,0.888608,0.777778,0.744681,0.923058,0.807111
Iteration 40,0.898477,0.791209,0.774194,0.929268,0.789494
