,Accuracy,Precision,Recall,AUC,AP
Iteration 1,0.936869,0.915663,0.808511,0.972911,0.900447
Iteration 2,0.89899,0.829268,0.723404,0.943092,0.842119
Iteration 3,0.924051,0.847826,0.829787,0.963667,0.866269
Iteration 4,0.923858,0.846154,0.827957,0.967027,0.877277
Iteration 5,0.90404,0.841463,0.734043,0.966394,0.86607
Iteration 6,0.916667,0.808081,0.851064,0.968754,0.881923
Iteration 7,0.924051,0.833333,0.851064,0.970435,0.900535
Iteration 8,0.928934,0.882353,0.806452,0.956043,0.889076
Iteration 9,0.934343,0.861702,0.861702,0.968103,0.843691
Iteration 10,0.921717,0.898734,0.755319,0.955316,0.869657
Iteration 11,0.911392,0.810526,0.819149,0.962377,0.889455
Iteration 12,0.936548,0.846939,0.892473,0.973065,0.904139
Iteration 13,0.926768,0.945205,0.734043,0.977684,0.939092
Iteration 14,0.906566,0.843373,0.744681,0.920953,0.81865
Iteration 15,0.934177,0.826923,0.914894,0.975507,0.886552
Iteration 16,0.928934,0.821782,0.892473,0.973225,0.871029
Iteration 17,0.924242,0.863636,0.808511,0.978847,0.910229
Iteration 18,0.931818,0.876404,0.829787,0.960001,0.880144
Iteration 19,0.918987,0.829787,0.829787,0.966671,0.916328
Iteration 20,0.898477,0.811765,0.741935,0.949809,0.857013
Iteration 21,0.919192,0.8875,0.755319,0.975447,0.9111
Iteration 22,0.929293,0.866667,0.829787,0.968543,0.905857
Iteration 23,0.926582,0.857143,0.829787,0.96623,0.907764
Iteration 24,0.926396,0.855556,0.827957,0.963384,0.886347
Iteration 25,0.924242,0.833333,0.851064,0.971661,0.908489
Iteration 26,0.921717,0.83871,0.829787,0.970304,0.892328
Iteration 27,0.926582,0.882353,0.797872,0.96319,0.918277
Iteration 28,0.92132,0.836957,0.827957,0.966117,0.896364
Iteration 29,0.90404,0.797872,0.797872,0.955879,0.857727
Iteration 30,0.941919,0.917647,0.829787,0.9789,0.947753
Iteration 31,0.893671,0.809524,0.723404,0.911571,0.751847
Iteration 32,0.918782,0.858824,0.784946,0.957436,0.856621
Iteration 33,0.934343,0.846939,0.882979,0.951775,0.928036
Iteration 34,0.926768,0.882353,0.797872,0.956637,0.875751
Iteration 35,0.911392,0.83908,0.776596,0.959179,0.872979
Iteration 36,0.918782,0.827957,0.827957,0.972672,0.901321
Iteration 37,0.911616,0.79798,0.840426,0.952815,0.850879
Iteration 38,0.926768,0.842105,0.851064,0.97041,0.894148
Iteration 39,0.918987,0.878049,0.765957,0.966866,0.900934
Iteration 40,0.939086,0.88764,0.849462,0.984032,0.951096
